 Instance                         Solved   Time     Nodes Expanded   Distance
11 4 2 7 1 0 10 15 6 9 14 8 3 13 5 12    True    9.735289        42042884                52
5 7 3 12 15 13 14 8 0 10 9 6 1 4 2 11    True    37.579506       142402015               58
14 1 8 15 2 6 0 3 9 12 10 13 4 7 5 11    True    35.433216       136884967               53
13 14 6 12 4 5 1 0 9 3 10 2 15 11 8 7    True    0.958883        3332031                 52
9 8 0 2 15 1 4 14 3 10 7 5 11 13 6 12    True    8.039007        29883014                54
12 15 2 6 1 14 4 8 5 3 7 0 10 13 9 11    True    0.343268        1100106                 47
12 8 15 13 1 0 5 4 6 3 2 11 9 7 14 10    True    0.447262        1417585                 50
14 10 9 4 13 6 5 8 2 12 7 0 1 3 11 15    True    82.547707       316803843               59
14 3 5 15 11 6 13 9 0 10 2 12 4 1 7 8    True    45.836086       170938279               60
6 11 7 8 13 2 5 4 1 10 3 9 14 0 12 15    True    2.600748        10484581                52
1 6 12 14 3 2 15 8 4 5 13 9 0 7 11 10    True    7.632243        33565195                55
12 6 0 4 7 3 15 1 13 9 8 11 2 14 5 10    True    14.616012       49464935                52
8 1 7 12 11 0 10 5 9 15 6 13 14 2 3 4    True    37.733364       151966977               58
9 0 4 10 1 14 15 3 12 6 5 7 11 13 8 2    True    2.536762        8053289                 49
11 5 1 14 4 12 10 0 2 7 13 3 9 15 6 8    True    10.123891       33305063                54
8 13 10 9 11 3 15 6 0 1 2 14 12 5 4 7    True    8.597054        31579676                54
4 5 7 2 9 14 12 13 0 3 6 11 8 1 15 10    True    0.146642        504926                  42
11 15 14 13 1 9 10 4 3 6 2 12 7 5 8 0    True    7.771262        30769478                64
12 9 0 6 8 3 5 14 2 4 11 7 10 1 15 13    True    8.635322        32143655                50
3 14 9 7 12 15 0 4 1 8 5 6 11 10 2 13    True    1.338346        6313163                 51
8 4 6 1 14 12 2 15 13 10 9 5 3 7 0 11    True    2.294478        10588815                49
6 10 1 14 15 8 3 5 13 0 2 7 4 9 11 12    True    0.185103        731196                  47
8 11 4 6 7 3 10 9 2 12 15 13 0 1 5 14    True    0.242305        940234                  49
10 0 2 4 5 1 6 12 11 13 9 7 15 3 14 8    True    367.069916      1406215662              59
12 5 13 11 2 10 0 9 7 8 4 3 14 6 15 1    True    2.719267        14200271                53
10 2 8 4 15 0 1 14 11 13 3 6 9 7 5 12    True    4.804484        19176025                56
10 8 0 12 3 7 6 2 1 14 4 11 15 13 9 5    True    93.582970       405152296               56
14 9 12 13 15 4 8 10 0 2 1 7 3 11 5 6    True    52.641396       248047477               64
12 11 0 8 10 2 13 15 5 4 7 3 6 9 14 1    True    16.680099       73353630                56
13 8 14 3 9 1 0 7 15 5 4 10 12 2 6 11    True    0.069713        280810                  41
3 15 2 5 11 6 4 7 12 9 1 0 13 14 10 8    True    143.509186      631158748               55
5 11 6 9 4 13 12 0 8 2 15 10 1 7 3 14    True    0.748668        3526690                 50
5 0 15 8 4 6 1 14 10 11 3 9 7 12 2 13    True    0.746760        3443274                 51
15 14 6 7 10 1 0 11 12 8 4 9 2 5 13 3    True    162.128586      734843317               57
11 14 13 1 2 3 12 4 15 7 9 5 10 6 8 0    True    538.275024      1825013507              66
6 13 3 2 11 9 5 10 1 7 12 14 8 4 0 15    True    1.239136        3981298                 45
4 6 12 0 14 2 9 13 11 8 3 15 7 10 1 5    True    14.437165       38497563                57
8 10 9 11 14 1 7 15 13 4 0 12 6 2 5 3    True    226.302429      695833721               56
5 2 14 0 7 8 6 3 11 12 13 15 4 10 9 1    True    33.071739       106667098               51
7 8 3 2 10 12 4 6 11 13 5 15 0 1 9 14    True    2.643354        8720001                 47
11 6 14 12 3 5 1 15 8 0 10 13 9 7 4 2    True    320.127045      1042015024              61
7 1 2 4 8 3 6 11 10 15 0 5 14 12 13 9    True    37.076447       119999308               50
7 3 1 13 12 10 5 2 8 0 6 11 14 15 4 9    True    9.968437        33606586                51
6 0 5 15 1 14 4 9 2 13 8 10 11 12 7 3    True    22.146358       73406828                53
15 1 3 12 4 0 6 5 2 8 14 9 13 10 7 11    True    22.119921       67398977                52
5 7 0 11 12 1 9 10 15 6 2 3 8 4 13 14    True    0.722493        2374995                 44
12 15 11 10 4 5 14 0 13 7 1 2 9 8 3 6    True    267.233765      910856300               56
6 14 10 5 15 8 7 1 3 4 2 0 12 9 11 13    True    0.411012        1662366                 49
14 13 4 11 15 8 6 9 0 7 3 1 2 10 12 5    True    0.251708        979455                  56
14 4 0 10 6 5 1 3 9 2 13 15 12 7 8 11    True    7.423124        23564827                48
15 10 8 3 0 6 9 5 1 14 13 11 7 2 12 4    True    14.881147       46479433                57
0 13 2 4 12 14 6 9 15 1 10 3 11 5 8 7    True    3.498893        12160712                54
3 14 13 6 4 15 8 9 5 12 10 0 2 7 1 11    True    1.276310        5125567                 53
0 1 9 7 11 13 5 3 14 12 4 2 8 6 10 15    True    0.107839        406930                  42
11 0 15 8 13 12 3 5 10 1 4 6 14 9 7 2    True    3.987447        15242722                57
13 0 9 12 11 6 3 5 15 8 1 10 4 14 2 7    True    2.981786        10540235                53
14 10 2 1 13 9 8 11 7 3 6 12 15 5 4 0    True    727.967102      2476115768              62
12 3 9 1 4 5 10 2 6 11 15 0 14 7 13 8    True    13.346460       36631362                49
15 8 10 7 0 12 14 1 5 9 6 3 13 11 4 2    True    34.385975       117970515               55
4 7 13 10 1 2 9 6 12 8 14 5 3 0 11 15    True    0.174057        814695                  44
6 0 5 10 11 12 9 2 1 7 4 3 14 8 13 15    True    0.408080        1443340                 45
9 5 11 10 13 0 2 1 8 6 14 12 4 7 3 15    True    10.080556       31971609                52
15 2 12 11 14 13 9 5 1 3 8 7 0 10 6 4    True    871.176331      3443107386              65
11 1 7 4 10 13 3 8 9 14 0 15 6 5 2 12    True    14.455731       50872713                54
5 4 7 1 11 12 14 15 10 13 8 6 2 0 9 3    True    1.286439        4697107                 50
9 7 5 2 14 15 12 10 11 3 6 1 8 13 0 4    True    100.457199      394340537               57
3 2 7 9 0 15 12 4 6 11 5 14 8 13 10 1    True    138.311340      548610158               57
13 9 14 6 12 8 1 2 3 4 0 7 5 10 11 15    True    0.181157        826778                  46
5 7 11 8 0 14 9 13 10 12 3 15 6 1 4 2    True    0.025346        121126                  53
4 3 6 13 7 15 9 0 10 5 8 11 2 12 1 14    True    0.508879        2403027                 50
1 7 15 14 2 6 4 9 12 11 13 3 0 8 5 10    True    1.445418        6330788                 49
9 14 5 7 8 15 1 2 10 4 13 6 12 0 11 3    True    0.196630        786467                  44
0 11 3 12 5 2 1 9 8 10 14 15 7 4 13 6    True    73.618187       274519996               54
7 15 4 0 10 9 2 5 12 11 13 6 1 3 14 8    True    16.778383       60597849                57
11 4 0 8 6 10 5 13 12 7 14 3 1 2 9 15    True    15.147621       64855416                54

